"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","SCHOOL NAME","SCHOOL SCORE","SCHOOL DISTANCE","DRIVE DISTANCE(KM)","DRIVE DURATION(MIN)","IS SENIOR"
"MLS Listing","","Condo/Co-op","958 Kiely Blvd Unit D","SANTA CLARA","CA","95051","539000","2","2.0","SANTA CLARA","956","1020","1971","2","564","480","Active","August-27-2017 01:00 PM","August-27-2017 04:00 PM","http://www.redfin.com/CA/Santa-Clara/958-Kiely-Blvd-95051/unit-D/home/1450038","MLSListings","ML81675240","N","Y","37.342216","-121.9803803","Juan Cabrillo Middle School","6","1.2","4.4","9","N"
"MLS Listing","","Condo/Co-op","471 Northlake Dr #16","SAN JOSE","CA","95117","688000","2","2.0","SAN JOSE","1191","1323","1985","2","578","395","Active","August-26-2017 02:00 PM","August-26-2017 05:00 PM","http://www.redfin.com/CA/San-Jose/471-Northlake-Dr-95117/unit-16/home/750569","MLSListings","ML81675238","N","Y","37.31945","-121.970511","Lynhaven Elementary School","5","0.8","6.4","12","N"
"MLS Listing","","Condo/Co-op","2988 Grassina St #109","SAN JOSE","CA","95136","635000","2","2.0","SAN JOSE","1048","2500","2006","2","606","383","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/2988-Grassina-St-95136/unit-109/home/2124349","MLSListings","ML81675230","N","Y","37.286058","-121.860882","Shirakawa (george, Senior.) Elementary School","8","2.1","19.5","17","N"
"MLS Listing","","Condo/Co-op","88 Bush St #1152","SAN JOSE","CA","95126","650000","1","1.0","SAN JOSE","859","476","2008","2","757","410","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/88-Bush-St-95126/unit-1152/home/17288649","MLSListings","ML81675229","N","Y","37.3301144","-121.9043482","Merritt Trace Elementary School","5","1.1","11.8","14","N"
"MLS Listing","","Single Family Residential","6328 Mountford Dr","SAN JOSE","CA","95123","869000","3","2.0","SAN JOSE","1502","5500","1969","2","579","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/6328-Mountford-Dr-95123/home/990015","MLSListings","ML81675219","N","Y","37.2294734","-121.8117907","Taylor (bertha) Elementary School","8","0.2","27.8","24","N"
"MLS Listing","","Single Family Residential","7731 Princevalle St","GILROY","CA","95020","899500","4","3.0","GILROY","2816","19600","1948","2","319","","Active","","","http://www.redfin.com/CA/Gilroy/7731-Princevalle-St-95020/home/1023205","MLSListings","ML81675216","N","Y","37.0095518","-121.579823","El Roble Elementary School","5","0.3","61.0","41","N"
"MLS Listing","","Condo/Co-op","4250 El Camino Real Unit A104","PALO ALTO","CA","94306","839000","1","1.0","PALO ALTO","885","885","1983","2","948","626","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Palo-Alto/4250-El-Camino-Real-94306/unit-A104/home/143409679","MLSListings","ML81675213","N","Y","37.4067161","-122.1218394","Juana Briones Elementary School","10","0.5","17.5","21","N"
"MLS Listing","","Condo/Co-op","2599 Yerba Bank Ct","SAN JOSE","CA","95121","589000","2","2.0","SAN JOSE","843","1213","1988","2","699","275","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/2599-Yerba-Bank-Ct-95121/home/630857","MLSListings","ML81675211","N","Y","37.2995653","-121.7765694","Laurelwood Elementary School","7","0.3","23.6","21","N"
"MLS Listing","","Single Family Residential","1276 Prevost St","SAN JOSE","CA","95125","899000","2","1.0","SAN JOSE","1222","7190","1949","2","736","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/1276-Prevost-St-95125/home/1014933","MLSListings","ML81675210","N","Y","37.3114018","-121.888374","Willow Glen Elementary School","8","0.8","14.6","13","N"
"MLS Listing","","Townhouse","1317 Lyonsville Ln","SAN JOSE","CA","95118","615000","2","2.0","SAN JOSE","974","2025","1973","2","631","387","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/1317-Lyonsville-Ln-95118/home/1317589","MLSListings","ML81675201","N","Y","37.244309","-121.886491","Los Alamitos Elementary School","10","1.2","23.6","21","N"
"MLS Listing","","Townhouse","2429 Loma Vista Ln","SANTA CLARA","CA","95051","849000","4","2.5","SANTA CLARA","1506","1728","1971","2","564","265","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Santa-Clara/2429-Loma-Vista-Ln-95051/home/942445","MLSListings","ML81673163","N","Y","37.36716","-121.969759","Bracher Elementary School","8","0.3","1.6","5","N"
"MLS Listing","","Single Family Residential","252 Sunnyslope Ave","SAN JOSE","CA","95127","545000","3","1.0","SAN JOSE","1392","6750","1959","2","392","","Active","August-26-2017 01:30 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/252-Sunnyslope-Ave-95127/home/1066705","MLSListings","ML81675198","N","Y","37.3688561","-121.8183818","Horace Cureton Elementary School","4","0.2","19.0","20","N"
"MLS Listing","","Single Family Residential","896 Foxworthy Ave","SAN JOSE","CA","95125","800000","3","2.5","SAN JOSE","1589","1350","2003","2","503","92","Active","August-25-2017 04:00 PM","August-25-2017 07:00 PM","http://www.redfin.com/CA/San-Jose/896-Foxworthy-Ave-95125/home/1235346","MLSListings","ML81675192","N","Y","37.2773181","-121.876118","Canoas Elementary School","5","0.5","19.7","18","N"
"MLS Listing","","Single Family Residential","126 N 12th St","SAN JOSE","CA","95112","499000","1","1.0","SAN JOSE","484","2450","1953","2","1031","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/126-N-12th-St-95112/home/1157621","MLSListings","ML81674351","N","Y","37.3436227","-121.8803165","Horace Mann Elementary School","3","0.4","11.6","15","N"
"MLS Listing","","Townhouse","4918 PLAZA ESCUELA","SANTA CLARA","CA","95054","798000","3","1.5","SANTA CLARA","1240","1307","1978","2","644","350","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Santa-Clara/4918-Plaza-Escuela-95054/home/854271","MLSListings","ML81675176","N","Y","37.404516","-121.964864","Kathryn Hughes Elementary School","8","0.1","5.4","10","N"
"MLS Listing","","Single Family Residential","1151 Lerma Ln","GILROY","CA","95020","634900","3","2.5","GILROY","1322","4700","1987","2","480","79","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Gilroy/1151-Lerma-Ln-95020/home/1352655","MLSListings","ML81675169","N","Y","37.0250746","-121.599441","Luigi Aprea Elementary School","8","0.3","59.7","40","N"
