"URL","IS SENIOR","PRICE","HOA/MONTH","SCHOOL SCORE","SCHOOL DISTANCE","SCHOOL NAME","DRIVE DISTANCE(KM)","DRIVE DURATION(MIN)","DAYS ON MARKET","PROPERTY TYPE","CITY","LOCATION","ZIP","BEDS","BATHS","SQUARE FEET","YEAR BUILT","FAVORITE","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME"
"http://www.redfin.com/CA/San-Jose/3366-Methilhaven-Ln-95121/home/789677","N","529000","348","5","0.1","John J. Montgomery Elementary School","20.3","18","2","Condo/Co-op","SAN JOSE","SAN JOSE","95121","3","1.0","991","1976","N","August-26-2017 01:00 PM","August-26-2017 04:30 PM"
"http://www.redfin.com/CA/Gilroy/7760-Driftwood-Ter-95020/home/752622","N","629000","","5","0.5","El Roble Elementary School","61.6","43","2","Single Family Residential","GILROY","GILROY","95020","3","2.0","1503","1963","N","August-26-2017 01:00 PM","August-26-2017 03:00 PM"
"http://www.redfin.com/CA/Morgan-Hill/103-Sapphire-Ln-95037/home/112869166","N","685000","300","","","","43.4","30","2","Townhouse","MORGAN HILL","MORGAN HILL","95037","3","3.0","1821","2015","N","",""
"http://www.redfin.com/CA/San-Jose/1520-Marburg-Way-95133/home/12181902","N","720000","275","4","0.1","Anne Darling Elementary School","12.2","12","2","Townhouse","SAN JOSE","SAN JOSE","95133","3","2.5","1663","2006","N","August-26-2017 01:00 PM","August-26-2017 04:00 PM"
"http://www.redfin.com/CA/San-Jose/4647-Pinto-River-Ct-95136/home/1202907","N","650000","375","6","0.6","Terrell Elementary School","20.3","19","2","Townhouse","SAN JOSE","SAN JOSE","95136","4","2.5","1760","1977","N","August-26-2017 01:00 PM","August-26-2017 04:00 PM"
"http://www.redfin.com/CA/San-Jose/1550-Technology-Dr-95110/unit-4003/home/2125241","N","499000","428","7","1.9","Orchard Elementary School","7.2","9","2","Condo/Co-op","SAN JOSE","SAN JOSE","95110","1","1.0","887","2005","N","August-26-2017 01:30 PM","August-26-2017 04:30 PM"
"http://www.redfin.com/CA/Mountain-View/1921-Rock-St-94043/unit-3/home/620483","N","819000","487","7","0.6","Monta Loma Elementary School","13.6","12","3","Condo/Co-op","MOUNTAIN VIEW","MOUNTAIN VIEW","94043","2","1.5","972","1974","N","August-26-2017 12:00 PM","August-26-2017 04:30 PM"
"http://www.redfin.com/CA/Santa-Clara/2889-Agate-Dr-95051/home/1440407","N","885000","","8","0.3","Bracher Elementary School","3.0","7","3","Single Family Residential","Santa Clara","Santa Clara","95051","3","1.5","897","1954","N","",""
"http://www.redfin.com/CA/San-Jose/2930-Tobin-Dr-95132/home/1123453","N","880000","","10","0.7","Northwood Elementary School","11.9","21","3","Single Family Residential","SAN JOSE","SAN JOSE","95132","3","1.5","1042","1971","N","August-26-2017 01:30 PM","August-26-2017 04:30 PM"
"http://www.redfin.com/CA/San-Jose/1282-Tea-Rose-Cir-95131/home/1322877","N","798000","243","7","0.5","Orchard Elementary School","9.6","15","3","Townhouse","SAN JOSE","SAN JOSE","95131","2","2.5","1543","1993","N","August-26-2017 12:00 PM","August-26-2017 05:00 PM"
"http://www.redfin.com/CA/San-Jose/4716-Capay-Dr-95118/unit-3/home/555802","N","468000","319","4","0.6","Almaden Elementary School","20.7","21","3","Condo/Co-op","SAN JOSE","SAN JOSE","95118","2","1.0","903","1970","N","August-26-2017 01:00 PM","August-26-2017 04:00 PM"
"http://www.redfin.com/CA/Gilroy/Undisclosed-address-95020/home/1024738","N","663999","","5","0.3","El Roble Elementary School","61.7","43","3","Single Family Residential","GILROY","GILROY","95020","3","2.0","1540","1978","N","August-26-2017 11:00 AM","August-26-2017 04:00 PM"
"http://www.redfin.com/CA/San-Jose/2581-Alveswood-Cir-95131/home/1641734","N","558000","588","10","0.4","Northwood Elementary School","10.5","17","3","Condo/Co-op","SAN JOSE","SAN JOSE","95131","2","2.0","1178","1989","N","August-26-2017 01:00 PM","August-26-2017 04:00 PM"
"http://www.redfin.com/CA/San-Jose/5964-Indian-Ave-95123/home/1241066","N","898000","","8","0.7","Sakamoto Elementary School","24.4","20","3","Single Family Residential","SAN JOSE","SAN JOSE","95123","5","3.0","2074","1968","N","August-26-2017 01:00 PM","August-26-2017 04:00 PM"
"http://www.redfin.com/CA/San-Jose/1128-Kayellen-Ct-95125/home/1067230","N","759000","500","8","0.8","Willow Glen Elementary School","14.4","13","3","Condo/Co-op","SAN JOSE","SAN JOSE","95125","2","2.5","1338","1985","N","August-26-2017 01:00 PM","August-26-2017 04:00 PM"
"http://www.redfin.com/CA/Saratoga/20790-4th-St-95070/unit-7/home/909789","N","879000","519","10","0.2","Saratoga Elementary School","29.0","25","3","Condo/Co-op","SARATOGA","SARATOGA","95070","2","2.0","1158","1970","Y","August-26-2017 01:30 PM","August-26-2017 04:30 PM"
