"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE"
"MLS Listing","","Single Family Residential","729 Gier Ct","SAN JOSE","CA","95111","900000","3","2.0","SAN JOSE","1257","10800","1977","44","716","","Active","","","http://www.redfin.com/CA/San-Jose/729-Gier-Ct-95111/home/948930","MLSListings","ML81670126","N","Y","37.3084011","-121.8442522"
"MLS Listing","","Condo/Co-op","1768 Parkview Green Cir","SAN JOSE","CA","95131","575000","1","1.0","SAN JOSE","719","1740","1988","45","800","316","Active","","","http://www.redfin.com/CA/San-Jose/1768-Parkview-Green-Cir-95131/home/687984","MLSListings","ML81670085","N","Y","37.379258","-121.8827"
"MLS Listing","","Single Family Residential","3735 Marchant Dr","SAN JOSE","CA","95127","795000","3","2.0","SAN JOSE","1109","10000","1971","45","717","","Active","","","http://www.redfin.com/CA/San-Jose/3735-Marchant-Dr-95127/home/948775","MLSListings","ML81670007","N","Y","37.3678729","-121.8037531"
"MLS Listing","","Single Family Residential","1575 Sawgrass Dr","SAN JOSE","CA","95116","780000","4","2.5","SAN JOSE","1786","2318","1998","46","437","74","Active","","","http://www.redfin.com/CA/San-Jose/1575-Sawgrass-Dr-95116/home/1195538","MLSListings","ML81655861","N","Y","37.3450616","-121.852957"
"MLS Listing","","Single Family Residential","7590 Dowdy St","GILROY","CA","95020","829000","4","2.5","GILROY","2822","11060","1924","47","294","","Active","","","http://www.redfin.com/CA/Gilroy/7590-Dowdy-St-95020/home/1137177","MLSListings","ML81669701","N","Y","37.0081269","-121.5757097"
"MLS Listing","","Single Family Residential","222 Martin St","GILROY","CA","95020","899888","5","2.0","GILROY","3176","19373","1900","47","283","","Active","","","http://www.redfin.com/CA/Gilroy/222-Martin-St-95020/home/1845712","MLSListings","ML81655964","N","Y","37.0086535","-121.5664126"
"MLS Listing","","Townhouse","604 Hermes Ct","SAN JOSE","CA","95111","599900","3","2.5","SAN JOSE","1496","2133","1989","47","401","200","Active","","","http://www.redfin.com/CA/San-Jose/604-Hermes-Ct-95111/home/874827","MLSListings","ML81669582","N","Y","37.3060723","-121.8453491"
"For-Sale-by-Owner Listing","","Single Family Residential","2730 Hay Loft Way","Morgan Hill","CA","95037","799888","3","2.0","Morgan Hill","1736","7521","1976","47","461","","Active","","","http://www.redfin.com/CA/Morgan-Hill/2730-Hay-Loft-Way-95037/home/1115896","Fizber.com","4923560","N","Y","37.1392652","-121.6059642"
"MLS Listing","","Single Family Residential","39 Scharff Ave","SAN JOSE","CA","95116","650000","3","2.0","SAN JOSE","857","6006","1920","48","758","","Active","","","http://www.redfin.com/CA/San-Jose/39-Scharff-Ave-95116/home/1502502","MLSListings","ML81669432","N","Y","37.3565353","-121.8446331"
"MLS Listing","","Condo/Co-op","6906 Chantel Ct","SAN JOSE","CA","95129","575000","1","1.0","SAN JOSE","582","","1987","48","988","310","Active","","","http://www.redfin.com/CA/San-Jose/6906-Chantel-Ct-95129/home/792838","MLSListings","ML81669363","Y","Y","37.2979619","-122.0307364"
